Type,Index,X,Y,Z,UV1_X,UV1_Y,UV2_X,UV2_Y,UV3_X,UV3_Y,Material,Group
Vertex,0,1300,0,0,,,,,,,
Vertex,1,0,0,0,,,,,,,
Vertex,2,1900,0,0,,,,,,,
Vertex,3,1300,-600,0,,,,,,,
Vertex,4,0,-600,0,,,,,,,
Vertex,5,1900,-600,0,,,,,,,
Vertex,6,1300,-1200,0,,,,,,,
Vertex,7,1900,-1200,0,,,,,,,
Vertex,8,1300,0,100,,,,,,,
Vertex,9,0,0,100,,,,,,,
Vertex,10,1300,-600,100,,,,,,,
Vertex,11,0,-600,100,,,,,,,
Vertex,12,1900,-600,100,,,,,,,
Vertex,13,1300,-1200,100,,,,,,,
Vertex,14,1900,-1200,100,,,,,,,
Vertex,15,1300,0,300,,,,,,,
Vertex,16,1300,-600,300,,,,,,,
Vertex,17,1900,0,300,,,,,,,
Vertex,18,1900,-600,300,,,,,,,
Face,8,11,9,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,10,18,12,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,12,13,10,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,3,13,6,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,4,10,3,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,0,9,1,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,6,14,7,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,17,15,8,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,7,12,5,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,15,18,16,0.0,0.0,0.0,0.0,0.0,0.0,4,None
Face,8,16,10,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,2,5,12,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,8,10,11,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,10,16,18,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,12,14,13,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,3,10,13,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,4,11,10,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,0,8,9,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,6,13,14,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,0,2,8,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,2,17,8,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,7,14,12,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,15,17,18,0.0,0.0,0.0,0.0,0.0,0.0,4,None
Face,8,15,16,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,12,18,17,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,17,2,12,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,4,9,11,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Face,4,1,9,0.0,0.0,0.0,0.0,0.0,0.0,1,None
Vertex,0,1300,0,0,,,,,,,
Vertex,1,0,0,0,,,,,,,
Vertex,2,1900,0,0,,,,,,,
Vertex,3,1300,-600,0,,,,,,,
Vertex,4,0,-600,0,,,,,,,
Vertex,5,1900,-600,0,,,,,,,
Vertex,6,1300,-1200,0,,,,,,,
Vertex,7,1900,-1200,0,,,,,,,
Vertex,8,1300,0,100,,,,,,,
Vertex,9,0,0,100,,,,,,,
Vertex,10,1300,-600,100,,,,,,,
Vertex,11,0,-600,100,,,,,,,
Vertex,12,1900,-600,100,,,,,,,
Vertex,13,1300,-1200,100,,,,,,,
Vertex,14,1900,-1200,100,,,,,,,
Vertex,15,1300,0,300,,,,,,,
Vertex,16,1300,-600,300,,,,,,,
Vertex,17,1900,0,300,,,,,,,
Vertex,18,1900,-600,300,,,,,,,
Vertex,19,300,-200,0,,,,,,,
Vertex,20,300,-200,100,,,,,,,
Vertex,21,300,-250,0,,,,,,,
Vertex,22,300,-250,100,,,,,,,
Vertex,23,350,-200,0,,,,,,,
Vertex,24,350,-200,100,,,,,,,
Vertex,25,350,-250,0,,,,,,,
Vertex,26,350,-250,100,,,,,,,
Vertex,27,400,-300,0,,,,,,,
Vertex,28,400,-300,100,,,,,,,
Vertex,29,400,-350,0,,,,,,,
Vertex,30,400,-350,100,,,,,,,
Vertex,31,450,-300,0,,,,,,,
Vertex,32,450,-300,100,,,,,,,
Vertex,33,450,-350,0,,,,,,,
Vertex,34,450,-350,100,,,,,,,
Vertex,35,600,-100,0,,,,,,,
Vertex,36,600,-100,100,,,,,,,
Vertex,37,600,-150,0,,,,,,,
Vertex,38,600,-150,100,,,,,,,
Vertex,39,650,-100,0,,,,,,,
Vertex,40,650,-100,100,,,,,,,
Vertex,41,650,-150,0,,,,,,,
Vertex,42,650,-150,100,,,,,,,
Vertex,43,600,-300,0,,,,,,,
Vertex,44,600,-300,100,,,,,,,
Vertex,45,600,-350,0,,,,,,,
Vertex,46,600,-350,100,,,,,,,
Vertex,47,650,-300,0,,,,,,,
Vertex,48,650,-300,100,,,,,,,
Vertex,49,650,-350,0,,,,,,,
Vertex,50,650,-350,100,,,,,,,
Vertex,51,1650,-500,100,,,,,,,
Vertex,52,1650,-500,0,,,,,,,
Vertex,53,1650,-200,100,,,,,,,
Vertex,54,1650,-200,0,,,,,,,
Vertex,55,1600,-500,100,,,,,,,
Vertex,56,1600,-500,0,,,,,,,
Vertex,57,1600,-200,100,,,,,,,
Vertex,58,1600,-200,0,,,,,,,
Face,21,20,19,0.375,0.25,0.625,0.0,0.375,0.0,3,None
Face,25,22,21,0.375,0.5,0.625,0.25,0.375,0.25,3,None
Face,23,26,25,0.375,0.75,0.625,0.5,0.375,0.5,3,None
Face,19,24,23,0.375,1.0,0.625,0.75,0.375,0.75,3,None
Face,29,28,27,0.375,0.25,0.625,0.0,0.375,0.0,3,None
Face,33,30,29,0.375,0.5,0.625,0.25,0.375,0.25,3,None
Face,31,34,33,0.375,0.75,0.625,0.5,0.375,0.5,3,None
