1
555
1300	0	0
0	0	0
1900	0	0
1300	-600	0
0	-600	0
1900	-600	0
1300	-1200	0
1900	-1200	0
1300	0	100
0	0	100
1300	-600	100
0	-600	100
1900	-600	100
1300	-1200	100
1900	-1200	100
1300	0	300
1300	-600	300
1900	0	300
1900	-600	300
300	-200	0
300	-200	100
300	-250	0
300	-250	100
350	-200	0
350	-200	100
350	-250	0
350	-250	100
400	-300	0
400	-300	100
400	-350	0
400	-350	100
450	-300	0
450	-300	100
450	-350	0
450	-350	100
600	-100	0
600	-100	100
600	-150	0
600	-150	100
650	-100	0
650	-100	100
650	-150	0
650	-150	100
600	-300	0
600	-300	100
600	-350	0
600	-350	100
650	-300	0
650	-300	100
650	-350	0
650	-350	100
1650	-500	100
1650	-500	0
1650	-200	100
1650	-200	0
1600	-500	100
1600	-500	0
1600	-200	100
1600	-200	0
1626	-794	75
1594	-794	75
1629	-794	71
1591	-794	71
1631	-796	67
1589	-796	67
1623	-793	66
1597	-793	66
1623	-792	70
1597	-792	70
1623	-793	74
1597	-793	74
1620	-793	75
1600	-793	75
1618	-793	72
1602	-793	72
1616	-794	69
1604	-794	69
1613	-799	74
1607	-799	74
1615	-797	76
1605	-797	76
1619	-795	78
1601	-795	78
1620	-798	80
1600	-798	80
1618	-801	80
1602	-801	80
1616	-804	79
1604	-804	79
1623	-807	80
1597	-807	80
1623	-803	81
1597	-803	81
1623	-799	80
1597	-799	80
1626	-798	79
1594	-798	79
1629	-802	79
1591	-802	79
1631	-806	77
1589	-806	77
1633	-802	71
1587	-802	71
1631	-799	74
1589	-799	74
1628	-796	77
1592	-796	77
1627	-798	80
1593	-798	80
1623	-799	81
1597	-799	81
1620	-797	81
1600	-797	81
1618	-795	78
1602	-795	78
1620	-792	76
1600	-792	76
1623	-794	78
1597	-794	78
1623	-792	74
1597	-792	74
1627	-793	75
1593	-793	75
1610	-802	81
1610	-798	81
1610	-773	51
1610	-781	62
1610	-784	66
1610	-770	49
1610	-805	77
1610	-810	80
1610	-848	59
1610	-847	42
1610	-834	30
1610	-809	31
1618	-790	60
1602	-790	60
1622	-783	54
1598	-783	54
1623	-776	47
1597	-776	47
1624	-772	40
1596	-772	40
1622	-771	39
1598	-771	39
1617	-770	39
1603	-770	39
1610	-769	39
1626	-792	60
1594	-792	60
1634	-795	63
1586	-795	63
1641	-802	66
1579	-802	66
1642	-806	77
1578	-806	77
1637	-806	79
1583	-806	79
1628	-808	84
1592	-808	84
1622	-811	90
1598	-811	90
1616	-809	89
1604	-809	89
1612	-803	83
1608	-803	83
1616	-800	81
1604	-800	81
1615	-798	78
1605	-798	78
1624	-792	69
1596	-792	69
1628	-794	69
1592	-794	69
1633	-798	72
1587	-798	72
1634	-801	75
1586	-801	75
1633	-802	78
1587	-802	78
1626	-803	81
1594	-803	81
1619	-802	83
1601	-802	83
1614	-771	50
1606	-771	50
1614	-769	47
1606	-769	47
1612	-768	45
1608	-768	45
1610	-768	45
1610	-785	65
1610	-787	66
1614	-786	66
1606	-786	66
1615	-784	64
1605	-784	64
1613	-783	62
1607	-783	62
1625	-791	67
1595	-791	67
1633	-795	68
1587	-795	68
1637	-799	71
1583	-799	71
1638	-803	77
1582	-803	77
1636	-802	80
1584	-802	80
1626	-803	86
1594	-803	86
1622	-805	89
1598	-805	89
1618	-804	89
1602	-804	89
1614	-799	84
1606	-799	84
1615	-786	69
1605	-786	69
1618	-779	57
1602	-779	57
1619	-773	50
1601	-773	50
1620	-771	46
1600	-771	46
1619	-769	43
1601	-769	43
1616	-769	42
1604	-769	42
1610	-768	42
1610	-792	71
1610	-795	76
1622	-803	82
1598	-803	82
1616	-794	74
1604	-794	74
1615	-795	76
1605	-795	76
1614	-772	51
1606	-772	51
1613	-778	58
1607	-778	58
1610	-778	58
1610	-782	61
1614	-782	63
1606	-782	63
1615	-783	65
1605	-783	65
1614	-786	67
1606	-786	67
1611	-786	67
1609	-786	67
1610	-783	67
1612	-785	68
1608	-785	68
1614	-784	67
1606	-784	67
1614	-782	66
1606	-782	66
1613	-782	65
1607	-782	65
1610	-781	64
1620	-787	56
1600	-787	56
1616	-785	62
1604	-785	62
1617	-783	61
1603	-783	61
1619	-789	58
1601	-789	58
1610	-769	45
1612	-769	45
1608	-769	45
1610	-772	47
1614	-773	48
1606	-773	48
1614	-771	45
1606	-771	45
1612	-771	44
1608	-771	44
1610	-770	44
1616	-795	77
1604	-795	77
1617	-794	75
1603	-794	75
1623	-801	81
1597	-801	81
1620	-801	82
1600	-801	82
1626	-800	81
1594	-800	81
1631	-801	78
1589	-801	78
1632	-799	76
1588	-799	76
1632	-797	73
1588	-797	73
1628	-794	72
1592	-794	72
1624	-792	71
1596	-792	71
1618	-792	74
1602	-792	74
1617	-797	79
1603	-797	79
1618	-799	81
1602	-799	81
1619	-799	80
1601	-799	80
1617	-798	78
1603	-798	78
1619	-793	73
1601	-793	73
1624	-793	72
1596	-793	72
1627	-794	72
1593	-794	72
1631	-798	73
1589	-798	73
1631	-800	75
1589	-800	75
1630	-801	77
1590	-801	77
1626	-800	80
1594	-800	80
1621	-800	81
1599	-800	81
1618	-795	74
1602	-795	74
1617	-796	76
1603	-796	76
1614	-806	78
1606	-806	78
1617	-811	84
1603	-811	84
1623	-812	84
1597	-812	84
1628	-810	79
1592	-810	79
1635	-809	75
1585	-809	75
1640	-809	73
1580	-809	73
1639	-804	64
1581	-804	64
1633	-799	61
1587	-799	61
1626	-795	60
1594	-795	60
1610	-826	81
1610	-838	74
1610	-823	27
1610	-793	43
1610	-772	36
1610	-780	38
1610	-786	43
1610	-790	45
1642	-815	58
1578	-815	58
1642	-820	57
1578	-820	57
1639	-829	45
1581	-829	45
1627	-840	43
1593	-840	43
